method,uri,action,middleware,permissions,sensitive,controller_authorize_call,form_request_authorize,transition_guard_hint,transition_guard_signal,risk
POST,/api/v1/fleet-portal/work-orders/{id}/approve-credit,"App\Http\Controllers\Api\V1\FleetPortalController@approveCredit",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:fleet.workorder.approve,fleet.workorder.approve,yes,no,no,transition_guard_present,controller_transition_check_detected,low-medium
POST,/api/v1/fleet-portal/work-orders/{id}/reject-credit,"App\Http\Controllers\Api\V1\FleetPortalController@rejectCredit",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:fleet.workorder.approve,fleet.workorder.approve,yes,no,no,transition_guard_present,controller_transition_check_detected,low-medium
GET,/api/v1/plans,"App\Http\Controllers\Api\V1\SaasController@listPlans",api,,no,no,no,not_applicable,read_only_route,low
POST,/api/v1/plans/seed,"App\Http\Controllers\Api\V1\SaasController@seedPlans",api|auth:sanctum|permission:subscriptions.manage,subscriptions.manage,yes,no,no,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/subscription,"App\Http\Controllers\Api\V1\SaasController@currentSubscription",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,no,no,not_applicable,read_only_route,low-medium
POST,/api/v1/subscription/change,"App\Http\Controllers\Api\V1\SaasController@changePlan",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:subscriptions.manage,subscriptions.manage,yes,no,no,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/subscription/usage,"App\Http\Controllers\Api\V1\SaasController@usageLimits",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:subscriptions.view,subscriptions.view,yes,no,no,not_applicable,read_only_route,low-medium
PUT,/api/v1/plans/{slug},"App\Http\Controllers\Api\V1\SaasController@updatePlan",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:subscriptions.manage,subscriptions.manage,yes,no,no,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/bays,"App\Http\Controllers\Api\V1\BayController@index",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,no,no,not_applicable,read_only_route,low
POST,/api/v1/bays,"App\Http\Controllers\Api\V1\BayController@store",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:work_orders.update,work_orders.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
PATCH,/api/v1/bays/{id}/status,"App\Http\Controllers\Api\V1\BayController@updateStatus",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:work_orders.update,work_orders.update,yes,no,no,transition_guard_present,controller_transition_check_detected,low-medium
GET,/api/v1/bookings,"App\Http\Controllers\Api\V1\BayController@listBookings",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,no,no,not_applicable,read_only_route,low
POST,/api/v1/bookings,"App\Http\Controllers\Api\V1\BayController@storeBooking",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:work_orders.update,work_orders.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
PATCH,/api/v1/bookings/{id},"App\Http\Controllers\Api\V1\BayController@updateBooking",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:work_orders.update,work_orders.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
POST,/api/v1/bookings/availability,"App\Http\Controllers\Api\V1\BayController@checkAvailability",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:work_orders.update,work_orders.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/bays/heatmap,"App\Http\Controllers\Api\V1\BayController@heatmap",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,no,no,not_applicable,read_only_route,low
GET,/api/v1/workshop/employees/stats,"App\Http\Controllers\Api\V1\WorkshopController@employeeStats",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,no,no,not_applicable,read_only_route,low
GET,/api/v1/workshop/employees,"App\Http\Controllers\Api\V1\WorkshopController@listEmployees",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,no,no,not_applicable,read_only_route,low
POST,/api/v1/workshop/employees,"App\Http\Controllers\Api\V1\WorkshopController@storeEmployee",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/workshop/employees/{id},"App\Http\Controllers\Api\V1\WorkshopController@showEmployee",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,no,no,not_applicable,read_only_route,low
PUT,/api/v1/workshop/employees/{id},"App\Http\Controllers\Api\V1\WorkshopController@updateEmployee",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
POST,/api/v1/workshop/attendance/check-in,"App\Http\Controllers\Api\V1\WorkshopController@checkIn",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
POST,/api/v1/workshop/attendance/check-out,"App\Http\Controllers\Api\V1\WorkshopController@checkOut",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/workshop/attendance/today,"App\Http\Controllers\Api\V1\WorkshopController@attendanceTodayAll",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,no,no,not_applicable,read_only_route,low
GET,/api/v1/workshop/attendance/month-all,"App\Http\Controllers\Api\V1\WorkshopController@attendanceMonthAll",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,no,no,not_applicable,read_only_route,low
GET,/api/v1/workshop/attendance/{employeeId}/today,"App\Http\Controllers\Api\V1\WorkshopController@attendanceToday",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,no,no,not_applicable,read_only_route,low
GET,/api/v1/workshop/attendance/{employeeId}/month,"App\Http\Controllers\Api\V1\WorkshopController@attendanceMonth",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,no,no,not_applicable,read_only_route,low
GET,/api/v1/workshop/attendance/{employeeId}/logs,"App\Http\Controllers\Api\V1\WorkshopController@attendanceLogs",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,no,no,not_applicable,read_only_route,low
GET,/api/v1/workshop/tasks,"App\Http\Controllers\Api\V1\WorkshopController@listTasks",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,no,no,not_applicable,read_only_route,low
POST,/api/v1/workshop/tasks,"App\Http\Controllers\Api\V1\WorkshopController@storeTask",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
