method,uri,action,middleware,permissions,sensitive,controller_authorize_call,form_request_authorize,transition_guard_hint,transition_guard_signal,risk
POST,/api/v1/governance/salaries/{id}/pay,"App\Http\Controllers\Api\V1\SalaryController@pay",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/governance/salaries/summary,"App\Http\Controllers\Api\V1\SalaryController@summary",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,not_applicable,read_only_route,low-medium
GET,/api/v1/governance/referrals,"App\Http\Controllers\Api\V1\ReferralController@index",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,not_applicable,read_only_route,low-medium
POST,/api/v1/governance/referrals/generate,"App\Http\Controllers\Api\V1\ReferralController@generate",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/governance/referrals/policy,"App\Http\Controllers\Api\V1\ReferralController@getPolicy",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,not_applicable,read_only_route,low-medium
PUT,/api/v1/governance/referrals/policy,"App\Http\Controllers\Api\V1\ReferralController@savePolicy",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/governance/loyalty/customer/{id},"App\Http\Controllers\Api\V1\ReferralController@customerPoints",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,not_applicable,read_only_route,low-medium
POST,/api/v1/governance/loyalty/redeem,"App\Http\Controllers\Api\V1\ReferralController@redeemPoints",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/governance/loyalty/leaderboard,"App\Http\Controllers\Api\V1\ReferralController@leaderboard",api|auth:sanctum|tenant|financial.protection|subscription|permission:users.update,users.update,yes,no,no,not_applicable,read_only_route,low-medium
GET,/api/v1/support/tickets,"App\Http\Controllers\Api\V1\SupportController@indexTickets",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,no,no,not_applicable,read_only_route,low-medium
POST,/api/v1/support/tickets,"App\Http\Controllers\Api\V1\SupportController@storeTicket",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/support/tickets/{id},"App\Http\Controllers\Api\V1\SupportController@showTicket",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,no,no,not_applicable,read_only_route,low-medium
PUT,/api/v1/support/tickets/{id},"App\Http\Controllers\Api\V1\SupportController@updateTicket",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
PATCH,/api/v1/support/tickets/{id}/status,"App\Http\Controllers\Api\V1\SupportController@changeStatus",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:users.update,users.update,yes,no,no,transition_guard_present,controller_transition_check_detected,low-medium
POST,/api/v1/support/tickets/{id}/replies,"App\Http\Controllers\Api\V1\SupportController@storeReply",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
POST,/api/v1/support/tickets/{id}/rate,"App\Http\Controllers\Api\V1\SupportController@rateSatisfaction",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/support/stats,"App\Http\Controllers\Api\V1\SupportController@stats",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,no,no,not_applicable,read_only_route,low-medium
GET,/api/v1/support/sla-policies,"App\Http\Controllers\Api\V1\SupportController@indexSla",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,no,no,not_applicable,read_only_route,low-medium
POST,/api/v1/support/sla-policies,"App\Http\Controllers\Api\V1\SupportController@storeSla",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
PUT,/api/v1/support/sla-policies/{id},"App\Http\Controllers\Api\V1\SupportController@updateSla",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
POST,/api/v1/support/sla/check-breaches,"App\Http\Controllers\Api\V1\SupportController@checkSlaBreaches",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/support/kb,"App\Http\Controllers\Api\V1\SupportController@indexKb",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,no,no,not_applicable,read_only_route,low-medium
POST,/api/v1/support/kb,"App\Http\Controllers\Api\V1\SupportController@storeKb",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
PUT,/api/v1/support/kb/{id},"App\Http\Controllers\Api\V1\SupportController@updateKb",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
POST,/api/v1/support/kb/{id}/vote,"App\Http\Controllers\Api\V1\SupportController@voteKb",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/support/kb/search,"App\Http\Controllers\Api\V1\SupportController@searchKb",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,no,no,not_applicable,read_only_route,low-medium
GET,/api/v1/support/kb-categories,"App\Http\Controllers\Api\V1\SupportController@indexKbCategories",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,no,no,not_applicable,read_only_route,low-medium
POST,/api/v1/support/kb-categories,"App\Http\Controllers\Api\V1\SupportController@storeKbCategory",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/zatca/status,"App\Http\Controllers\Api\V1\ZatcaController@status",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,no,no,not_applicable,read_only_route,low
GET,/api/v1/zatca/logs,"App\Http\Controllers\Api\V1\ZatcaController@logs",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,no,no,not_applicable,read_only_route,low
POST,/api/v1/zatca/submit,"App\Http\Controllers\Api\V1\ZatcaController@submit",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:invoices.update,invoices.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/notifications,"App\Http\Controllers\Api\V1\NotificationController@index",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,no,no,not_applicable,read_only_route,low
PUT,/api/v1/notifications/{id}/read,"App\Http\Controllers\Api\V1\NotificationController@markRead",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
PUT,/api/v1/notifications/read-all,"App\Http\Controllers\Api\V1\NotificationController@markAllRead",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/customer-portal/dashboard,"App\Http\Controllers\Api\V1\CustomerPortalController@dashboard",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,no,no,no,not_applicable,read_only_route,low
POST,/api/v1/external/v1/invoices,"App\Http\Controllers\Api\V1\External\ExternalInvoiceController@store",api|auth.apikey|api.log|financial.protection|subscription|idempotent,,yes,no,yes,not_applicable,non_transition_mutation,low-medium
GET,/api/v1/external/v1/invoices/{uuid},"App\Http\Controllers\Api\V1\External\ExternalInvoiceController@show",api|auth.apikey|api.log|financial.protection|subscription,,yes,no,no,not_applicable,read_only_route,low-medium
GET,/api/v1/plugins,"App\Http\Controllers\Api\V1\PluginController@index",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,no,no,not_applicable,read_only_route,low-medium
GET,/api/v1/plugins/tenant,"App\Http\Controllers\Api\V1\PluginController@tenantPlugins",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,no,no,not_applicable,read_only_route,low-medium
GET,/api/v1/plugins/{key},"App\Http\Controllers\Api\V1\PluginController@show",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription,,yes,no,no,not_applicable,read_only_route,low-medium
POST,/api/v1/plugins/{key}/install,"App\Http\Controllers\Api\V1\PluginController@install",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
DELETE,/api/v1/plugins/{key}/uninstall,"App\Http\Controllers\Api\V1\PluginController@uninstall",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
PUT,/api/v1/plugins/{key}/configure,"App\Http\Controllers\Api\V1\PluginController@configure",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
POST,/api/v1/plugins/{key}/execute,"App\Http\Controllers\Api\V1\PluginController@execute",api|auth:sanctum|tenant|financial.protection|branch.scope|subscription|permission:users.update,users.update,yes,no,no,not_applicable,non_transition_mutation,low-medium
GET,/up,Closure,,,no,no,no,not_applicable,read_only_route,low
